onset	duration	modality	hand_ori	finger	touch_side	mov_num	target	run_num	block_num	trial_num_per_run	trial_num_per_block
57.4727	2.8023	2	1	2	1	0	1	1	1	1	1
59.3228	2.8023	2	1	2	1	0	1	1	1	2	2
61.9478	2.8023	2	1	1	2	0	1	1	1	3	3
64.5737	2.8023	2	1	1	2	0	1	1	1	4	4
67.1987	2.8023	2	1	1	2	0	2	1	1	5	5
69.8242	2.8023	2	1	2	1	0	1	1	1	6	6
72.4492	2.8023	2	1	1	2	0	1	1	1	7	7
75.0742	2.8023	2	1	2	1	0	1	1	1	8	8
77.6997	2.8023	2	1	2	1	0	1	1	1	9	9
80.3252	2.8023	2	1	2	1	0	1	1	1	10	10
83.7427	2.8023	1	1	2	1	9	1	1	1	11	11
86.3677	2.8023	1	1	2	1	9	1	1	1	12	12
88.9927	2.8023	1	1	1	2	10	1	1	1	13	13
91.6182	2.8023	1	1	1	2	10	1	1	1	14	14
94.2437	2.8023	1	1	2	1	21	2	1	1	15	15
96.8687	2.8023	1	1	2	1	7	1	1	1	16	16
99.4941	2.8023	1	1	2	1	8	1	1	1	17	17
102.1191	2.8023	1	1	1	2	12	1	1	1	18	18
104.7612	2.8023	1	1	1	2	11	1	1	1	19	19
107.3867	2.8023	1	1	2	1	8	1	1	1	20	20
109.5952	2.8023	2	1	2	1	0	1	1	1	21	21
112.2207	2.8023	2	1	1	2	0	1	1	1	22	22
114.8457	2.8023	2	1	1	2	0	1	1	1	23	23
117.4712	2.8023	2	1	2	1	0	1	1	1	24	24
120.0967	2.8023	2	1	1	2	0	1	1	1	25	25
122.7217	2.8023	2	1	1	2	0	1	1	1	26	26
125.3472	2.8023	2	1	2	1	0	2	1	1	27	27
127.9722	2.8023	2	1	2	1	0	1	1	1	28	28
130.5977	2.8023	2	1	1	2	0	1	1	1	29	29
133.2231	2.8023	2	1	1	2	0	1	1	1	30	30
136.6401	2.8023	1	1	1	2	12	1	1	1	31	31
139.2656	2.8023	1	1	2	1	8	1	1	1	32	32
141.8906	2.8023	1	1	1	2	10	1	1	1	33	33
144.5161	2.8023	1	1	1	2	11	1	1	1	34	34
147.1416	2.8023	1	1	2	1	9	1	1	1	35	35
149.7671	2.8023	1	1	2	1	9	1	1	1	36	36
152.3921	2.8023	1	1	2	1	21	2	1	1	37	37
155.0176	2.8023	1	1	2	1	8	1	1	1	38	38
157.6426	2.8023	1	1	1	2	11	1	1	1	39	39
160.2681	2.8023	1	1	1	2	10	1	1	1	40	40
174.0781	2.8023	2	2	1	1	0	1	1	2	41	1
175.9282	2.8023	2	2	2	2	0	1	1	2	42	2
178.5537	2.8023	2	2	1	1	0	1	1	2	43	3
181.1787	2.8023	2	2	1	1	0	1	1	2	44	4
183.8042	2.8023	2	2	2	2	0	1	1	2	45	5
186.4297	2.8023	2	2	2	2	0	2	1	2	46	6
189.0547	2.8023	2	2	2	2	0	1	1	2	47	7
191.6802	2.8023	2	2	1	1	0	1	1	2	48	8
194.3057	2.8023	2	2	1	1	0	1	1	2	49	9
196.9307	2.8023	2	2	1	1	0	1	1	2	50	10
200.3481	2.8023	1	2	2	2	1	1	1	2	51	11
202.9731	2.8023	1	2	1	1	18	2	1	2	52	12
205.5986	2.8023	1	2	1	1	6	1	1	2	53	13
208.2241	2.8023	1	2	1	1	6	1	1	2	54	14
210.8491	2.8023	1	2	2	2	2	1	1	2	55	15
213.4746	2.8023	1	2	2	2	1	1	1	2	56	16
