onset	duration	modality	hand_ori	finger	touch_side	mov_num	target	run_num	block_num	trial_num_per_run	trial_num_per_block
65.9741	2.8023	2	1	2	1	0	1	1	1	1	1
67.8242	2.8023	2	1	1	2	0	1	1	1	2	2
70.4497	2.8023	2	1	1	2	0	1	1	1	3	3
73.0747	2.8023	2	1	1	2	0	2	1	1	4	4
75.7007	2.8023	2	1	1	2	0	1	1	1	5	5
78.3262	2.8023	2	1	2	1	0	1	1	1	6	6
80.9507	2.8023	2	1	2	1	0	1	1	1	7	7
83.5762	2.8023	2	1	1	2	0	1	1	1	8	8
86.2012	2.8023	2	1	2	1	0	1	1	1	9	9
88.8267	2.8023	2	1	1	2	0	1	1	1	10	10
92.2441	2.8023	1	1	2	1	8	1	1	1	11	11
94.8691	2.8023	1	1	1	2	10	1	1	1	12	12
97.4946	2.8023	1	1	1	2	11	1	1	1	13	13
100.1196	2.8023	1	1	2	1	7	1	1	1	14	14
102.7456	2.8023	1	1	2	1	19	2	1	1	15	15
105.3706	2.8023	1	1	2	1	7	1	1	1	16	16
107.9956	2.8023	1	1	1	2	12	1	1	1	17	17
110.6211	2.8023	1	1	2	1	9	1	1	1	18	18
113.2466	2.8023	1	1	2	1	8	1	1	1	19	19
115.8716	2.8023	1	1	1	2	12	1	1	1	20	20
117.7056	2.8023	2	1	1	2	0	1	1	1	21	21
120.3306	2.8023	2	1	2	1	0	1	1	1	22	22
122.9556	2.8023	2	1	2	1	0	1	1	1	23	23
125.5811	2.8023	2	1	2	1	0	1	1	1	24	24
128.2065	2.8023	2	1	1	2	0	1	1	1	25	25
130.8315	2.8023	2	1	2	1	0	1	1	1	26	26
133.457	2.8023	2	1	1	2	0	1	1	1	27	27
136.0825	2.8023	2	1	1	2	0	1	1	1	28	28
138.7075	2.8023	2	1	1	2	0	1	1	1	29	29
142.125	2.8023	1	1	2	1	8	1	1	1	30	30
144.75	2.8023	1	1	2	1	9	1	1	1	31	31
147.7339	2.8023	1	1	1	2	10	1	1	1	32	32
150.3594	2.8023	1	1	1	2	11	1	1	1	33	33
