onset	duration	modality	hand_ori	finger	touch_side	mov_num	target	run_num	block_num	trial_num_per_run	trial_num_per_block
56.6157	2.8023	1	1	1	2	11	1	1	1	1	1
59.2412	2.8023	1	1	2	1	9	1	1	1	2	2
61.8662	2.8023	1	1	2	1	9	1	1	1	3	3
64.4917	2.8023	1	1	2	1	20	2	1	1	4	4
67.1167	2.8023	1	1	2	1	7	1	1	1	5	5
69.7422	2.8023	1	1	1	2	11	1	1	1	6	6
72.3677	2.8023	1	1	2	1	8	1	1	1	7	7
74.9927	2.8023	1	1	1	2	11	1	1	1	8	8
77.6182	2.8023	1	1	1	2	10	1	1	1	9	9
80.2437	2.8023	1	1	1	2	12	1	1	1	10	10
82.8687	2.8023	1	1	1	2	23	2	1	1	11	11
84.7021	2.8023	2	1	2	1	0	1	1	1	12	12
87.3276	2.8023	2	1	2	1	0	1	1	1	13	13
89.9531	2.8023	2	1	1	2	0	1	1	1	14	14
92.5781	2.8023	2	1	2	1	0	1	1	1	15	15
95.2036	2.8023	2	1	2	1	0	2	1	1	16	16
97.8291	2.8023	2	1	2	1	0	1	1	1	17	17
100.4541	2.8023	2	1	2	1	0	1	1	1	18	18
103.0796	2.8023	2	1	1	2	0	1	1	1	19	19
105.7051	2.8023	2	1	1	2	0	1	1	1	20	20
108.3301	2.8023	2	1	2	1	0	1	1	1	21	21
111.7476	2.8023	1	1	1	2	12	1	1	1	22	22
114.3726	2.8023	1	1	2	1	7	1	1	1	23	23
116.998	2.8023	1	1	1	2	11	1	1	1	24	24
119.623	2.8023	1	1	1	2	10	1	1	1	25	25
122.2485	2.8023	1	1	1	2	24	2	1	1	26	26
124.874	2.8023	1	1	2	1	8	1	1	1	27	27
127.499	2.8023	1	1	2	1	9	1	1	1	28	28
130.1245	2.8023	1	1	1	2	12	1	1	1	29	29
132.75	2.8023	1	1	1	2	22	2	1	1	30	30
135.375	2.8023	1	1	1	2	10	1	1	1	31	31
138.001	2.8023	1	1	2	1	8	1	1	1	32	32
139.834	2.8023	2	1	1	2	0	1	1	1	33	33
142.4595	2.8023	2	1	1	2	0	1	1	1	34	34
145.0845	2.8023	2	1	1	2	0	1	1	1	35	35
147.71	2.8023	2	1	2	1	0	1	1	1	36	36
150.3354	2.8023	2	1	2	1	0	1	1	1	37	37
152.9604	2.8023	2	1	2	1	0	2	1	1	38	38
155.5859	2.8023	2	1	2	1	0	1	1	1	39	39
158.2109	2.8023	2	1	1	2	0	1	1	1	40	40
160.8364	2.8023	2	1	1	2	0	1	1	1	41	41
163.4619	2.8023	2	1	1	2	0	1	1	1	42	42
171.4878	2.8023	1	2	2	2	2	1	1	2	43	1
174.7798	2.8023	1	2	2	2	3	1	1	2	44	2
177.4053	2.8023	1	2	2	2	1	1	1	2	45	3
180.0308	2.8023	1	2	1	1	4	1	1	2	46	4
182.6558	2.8023	1	2	1	1	6	1	1	2	47	5
185.2813	2.8023	1	2	1	1	4	1	1	2	48	6
187.9067	2.8023	1	2	2	2	2	1	1	2	49	7
190.5317	2.8023	1	2	2	2	1	1	1	2	50	8
193.1572	2.8023	1	2	2	2	1	1	1	2	51	9
194.9907	2.8023	2	2	2	2	0	1	1	2	52	10
197.6162	2.8023	2	2	2	2	0	1	1	2	53	11
200.2412	2.8023	2	2	1	1	0	1	1	2	54	12
202.8667	2.8023	2	2	1	1	0	1	1	2	55	13
205.4917	2.8023	2	2	1	1	0	1	1	2	56	14
208.1172	2.8023	2	2	1	1	0	2	1	2	57	15
210.7427	2.8023	2	2	2	2	0	1	1	2	58	16
213.3677	2.8023	2	2	1	1	0	1	1	2	59	17
215.9932	2.8023	2	2	1	1	0	1	1	2	60	18
218.6187	2.8023	2	2	2	2	0	1	1	2	61	19
222.0356	2.8023	1	2	2	2	1	1	1	2	62	20
224.6611	2.8023	1	2	2	2	1	1	1	2	63	21
227.2861	2.8023	1	2	1	1	4	1	1	2	64	22
229.9116	2.8023	1	2	2	2	3	1	1	2	65	23
232.5371	2.8023	1	2	1	1	17	2	1	2	66	24
235.1621	2.8023	1	2	2	2	3	1	1	2	67	25
237.7876	2.8023	1	2	2	2	2	1	1	2	68	26
240.4131	2.8023	1	2	1	1	5	1	1	2	69	27
243.0381	2.8023	1	2	1	1	5	1	1	2	70	28
245.6636	2.8023	1	2	2	2	2	1	1	2	71	29
247.4971	2.8023	2	2	1	1	0	1	1	2	72	30
250.1221	2.8023	2	2	2	2	0	2	1	2	73	31
252.7476	2.8023	2	2	1	1	0	1	1	2	74	32
255.373	2.8023	2	2	1	1	0	1	1	2	75	33
257.9985	2.8023	2	2	2	2	0	1	1	2	76	34
260.6235	2.8023	2	2	1	1	0	2	1	2	77	35
263.249	2.8023	2	2	1	1	0	1	1	2	78	36
265.874	2.8023	2	2	2	2	0	1	1	2	79	37
268.4995	2.8023	2	2	2	2	0	1	1	2	80	38
271.125	2.8023	2	2	1	1	0	2	1	2	81	39
273.75	2.8023	2	2	2	2	0	1	1	2	82	40
276.3755	2.8023	2	2	1	1	0	1	1	2	83	41
285.0435	2.8023	1	1	2	1	8	1	1	3	84	1
287.6685	2.8023	1	1	2	1	7	1	1	3	85	2
290.2939	2.8023	1	1	2	1	8	1	1	3	86	3
292.9194	2.8023	1	1	2	1	20	2	1	3	87	4
295.5444	2.8023	1	1	1	2	11	1	1	3	88	5
298.1699	2.8023	1	1	1	2	10	1	1	3	89	6
300.7954	2.8023	1	1	2	1	7	1	1	3	90	7
303.4204	2.8023	1	1	2	1	9	1	1	3	91	8
306.0459	2.8023	1	1	1	2	12	1	1	3	92	9
308.6714	2.8023	1	1	2	1	19	2	1	3	93	10
311.2964	2.8023	1	1	1	2	11	1	1	3	94	11
313.1299	2.8023	2	1	1	2	0	1	1	3	95	12
315.7554	2.8023	2	1	1	2	0	1	1	3	96	13
318.3804	2.8023	2	1	2	1	0	1	1	3	97	14
321.0059	2.8023	2	1	1	2	0	1	1	3	98	15
323.6313	2.8023	2	1	1	2	0	1	1	3	99	16
326.2563	2.8023	2	1	2	1	0	1	1	3	100	17
328.8818	2.8023	2	1	2	1	0	2	1	3	101	18
331.5073	2.8023	2	1	2	1	0	1	1	3	102	19
334.1323	2.8023	2	1	1	2	0	1	1	3	103	20
336.7578	2.8023	2	1	2	1	0	1	1	3	104	21
340.1748	2.8023	1	1	2	1	9	1	1	3	105	22
342.8003	2.8023	1	1	1	2	23	2	1	3	106	23
345.4258	2.8023	1	1	1	2	12	1	1	3	107	24
348.0508	2.8023	1	1	2	1	7	1	1	3	108	25
350.6763	2.8023	1	1	2	1	8	1	1	3	109	26
353.3018	2.8023	1	1	1	2	10	1	1	3	110	27
355.9268	2.8023	1	1	1	2	22	2	1	3	111	28
358.5522	2.8023	1	1	1	2	10	1	1	3	112	29
