onset	duration	modality	hand_ori	finger	touch_side	mov_num	target	run_num	block_num	trial_num_per_run	trial_num_per_block
34.6396	2.8023	2	2	1	1	0	1	1	1	1	1
36.4897	2.8023	2	2	1	1	0	1	1	1	2	2
39.1147	2.8023	2	2	1	1	0	1	1	1	3	3
41.7402	2.8023	2	2	2	2	0	1	1	1	4	4
44.3657	2.8023	2	2	1	1	0	1	1	1	5	5
46.9907	2.8023	2	2	2	2	0	1	1	1	6	6
49.6162	2.8023	2	2	2	2	0	1	1	1	7	7
52.2417	2.8023	2	2	2	2	0	1	1	1	8	8
54.8667	2.8023	2	2	1	1	0	1	1	1	9	9
58.2837	2.8023	1	2	2	2	1	1	1	1	10	10
60.9092	2.8023	1	2	1	1	5	1	1	1	11	11
63.5347	2.8023	1	2	2	2	3	1	1	1	12	12
66.1597	2.8023	1	2	2	2	3	1	1	1	13	13
68.7852	2.8023	1	2	2	2	1	1	1	1	14	14
71.4106	2.8023	1	2	1	1	4	1	1	1	15	15
74.0356	2.8023	1	2	1	1	4	1	1	1	16	16
76.6611	2.8023	1	2	1	1	6	1	1	1	17	17
79.2866	2.8023	1	2	2	2	13	2	1	1	18	18
81.9116	2.8023	1	2	2	2	3	1	1	1	19	19
83.7451	2.8023	2	2	1	1	0	1	1	1	20	20
86.3706	2.8023	2	2	2	2	0	1	1	1	21	21
88.9961	2.8023	2	2	2	2	0	1	1	1	22	22
91.6211	2.8023	2	2	1	1	0	1	1	1	23	23
94.2466	2.8023	2	2	1	1	0	2	1	1	24	24
96.8721	2.8023	2	2	1	1	0	1	1	1	25	25
99.4971	2.8023	2	2	1	1	0	1	1	1	26	26
102.1226	2.8023	2	2	2	2	0	1	1	1	27	27
104.748	2.8023	2	2	2	2	0	1	1	1	28	28
107.373	2.8023	2	2	2	2	0	1	1	1	29	29
110.79	2.8023	1	2	1	1	6	1	1	1	30	30
113.4155	2.8023	1	2	1	1	4	1	1	1	31	31
116.041	2.8023	1	2	1	1	4	1	1	1	32	32
118.666	2.8023	1	2	2	2	1	1	1	1	33	33
121.2915	2.8023	1	2	1	1	6	1	1	1	34	34
123.917	2.8023	1	2	2	2	2	1	1	1	35	35
126.5425	2.8023	1	2	1	1	6	1	1	1	36	36
129.168	2.8023	1	2	1	1	18	2	1	1	37	37
131.793	2.8023	1	2	2	2	1	1	1	1	38	38
134.418	2.8023	1	2	1	1	6	1	1	1	39	39
142.0942	2.8023	2	1	2	1	0	1	1	2	40	1
143.9443	2.8023	2	1	2	1	0	1	1	2	41	2
146.5693	2.8023	2	1	1	2	0	1	1	2	42	3
149.1948	2.8023	2	1	2	1	0	1	1	2	43	4
151.8203	2.8023	2	1	1	2	0	1	1	2	44	5
154.4458	2.8023	2	1	1	2	0	1	1	2	45	6
157.0708	2.8023	2	1	2	1	0	2	1	2	46	7
159.6963	2.8023	2	1	1	2	0	1	1	2	47	8
162.3213	2.8023	2	1	2	1	0	1	1	2	48	9
164.9468	2.8023	2	1	2	1	0	1	1	2	49	10
167.5723	2.8023	2	1	1	2	0	2	1	2	50	11
170.9897	2.8023	1	1	2	1	8	1	1	2	51	12
173.6147	2.8023	1	1	1	2	12	1	1	2	52	13
176.2397	2.8023	1	1	1	2	11	1	1	2	53	14
178.8652	2.8023	1	1	1	2	10	1	1	2	54	15
181.4907	2.8023	1	1	1	2	22	2	1	2	55	16
184.1162	2.8023	1	1	2	1	7	1	1	2	56	17
186.7412	2.8023	1	1	2	1	8	1	1	2	57	18
