onset	duration	modality	hand_ori	finger	touch_side	mov_num	target	run_num	block_num	trial_num_per_run	trial_num_per_block
55.687	2.8023	1	2	1	1	4	1	1	1	1	1
58.312	2.8023	1	2	2	2	1	1	1	1	2	2
60.9375	2.8023	1	2	2	2	3	1	1	1	3	3
63.563	2.8023	1	2	1	1	6	1	1	1	4	4
66.188	2.8023	1	2	1	1	5	1	1	1	5	5
68.8135	2.8023	1	2	2	2	3	1	1	1	6	6
71.439	2.8023	1	2	2	2	13	2	1	1	7	7
74.064	2.8023	1	2	2	2	3	1	1	1	8	8
76.6895	2.8023	1	2	1	1	4	1	1	1	9	9
79.3145	2.8023	1	2	1	1	6	1	1	1	10	10
81.1733	2.8023	2	2	1	1	0	1	1	1	11	11
83.7983	2.8023	2	2	1	1	0	1	1	1	12	12
86.4238	2.8023	2	2	1	1	0	1	1	1	13	13
89.0493	2.8023	2	2	2	2	0	1	1	1	14	14
91.6743	2.8023	2	2	1	1	0	1	1	1	15	15
94.2998	2.8023	2	2	2	2	0	2	1	1	16	16
96.9253	2.8023	2	2	1	1	0	1	1	1	17	17
99.5503	2.8023	2	2	2	2	0	1	1	1	18	18
102.1758	2.8023	2	2	2	2	0	1	1	1	19	19
104.8008	2.8023	2	2	2	2	0	1	1	1	20	20
108.2183	2.8023	1	2	2	2	2	1	1	1	21	21
110.8433	2.8023	1	2	2	2	2	1	1	1	22	22
113.4688	2.8023	1	2	2	2	1	1	1	1	23	23
116.0942	2.8023	1	2	1	1	5	1	1	1	24	24
118.7197	2.8023	1	2	2	2	3	1	1	1	25	25
121.3447	2.8023	1	2	1	1	6	1	1	1	26	26
123.9702	2.8023	1	2	1	1	4	1	1	1	27	27
126.5952	2.8023	1	2	1	1	5	1	1	1	28	28
129.2207	2.8023	1	2	1	1	17	2	1	1	29	29
131.8462	2.8023	1	2	2	2	3	1	1	1	30	30
133.6797	2.8023	2	2	2	2	0	1	1	1	31	31
136.3047	2.8023	2	2	2	2	0	1	1	1	32	32
138.9302	2.8023	2	2	1	1	0	2	1	1	33	33
141.5557	2.8023	2	2	2	2	0	1	1	1	34	34
144.1807	2.8023	2	2	1	1	0	1	1	1	35	35
146.8062	2.8023	2	2	2	2	0	1	1	1	36	36
149.4316	2.8023	2	2	1	1	0	1	1	1	37	37
152.0566	2.8023	2	2	1	1	0	1	1	1	38	38
154.6821	2.8023	2	2	2	2	0	1	1	1	39	39
157.3076	2.8023	2	2	1	1	0	1	1	1	40	40
172.2842	2.8023	1	1	1	2	10	1	1	2	41	1
174.9097	2.8023	1	1	1	2	10	1	1	2	42	2
177.5352	2.8023	1	1	1	2	11	1	1	2	43	3
180.1602	2.8023	1	1	2	1	7	1	1	2	44	4
182.7856	2.8023	1	1	1	2	12	1	1	2	45	5
185.4106	2.8023	1	1	1	2	24	2	1	2	46	6
188.0361	2.8023	1	1	1	2	11	1	1	2	47	7
190.6616	2.8023	1	1	1	2	12	1	1	2	48	8
193.2866	2.8023	1	1	2	1	9	1	1	2	49	9
195.9121	2.8023	1	1	2	1	19	2	1	2	50	10
198.5376	2.8023	1	1	1	2	10	1	1	2	51	11
200.3711	2.8023	2	1	1	2	0	1	1	2	52	12
202.9961	2.8023	2	1	2	1	0	1	1	2	53	13
205.6216	2.8023	2	1	1	2	0	1	1	2	54	14
208.2471	2.8023	2	1	1	2	0	1	1	2	55	15
210.8721	2.8023	2	1	1	2	0	1	1	2	56	16
213.4976	2.8023	2	1	2	1	0	1	1	2	57	17
216.123	2.8023	2	1	1	2	0	1	1	2	58	18
218.748	2.8023	2	1	2	1	0	1	1	2	59	19
221.3735	2.8023	2	1	1	2	0	1	1	2	60	20
224.7905	2.8023	1	1	1	2	11	1	1	2	61	21
