onset	duration	modality	hand_ori	finger	touch_side	mov_num	target	run_num	block_num	trial_num_per_run	trial_num_per_block
80.3979	2.8023	2	1	1	2	0	1	1	1	1	1
82.248	2.8023	2	1	1	2	0	1	1	1	2	2
84.8735	2.8023	2	1	1	2	0	1	1	1	3	3
87.499	2.8023	2	1	2	1	0	1	1	1	4	4
90.1235	2.8023	2	1	1	2	0	1	1	1	5	5
92.749	2.8023	2	1	1	2	0	1	1	1	6	6
95.3745	2.8023	2	1	1	2	0	1	1	1	7	7
97.9995	2.8023	2	1	2	1	0	1	1	1	8	8
100.625	2.8023	2	1	2	1	0	1	1	1	9	9
104.0762	2.8023	1	1	2	1	7	1	1	1	10	10
106.9844	2.8023	1	1	2	1	9	1	1	1	11	11
109.6099	2.8023	1	1	1	2	23	2	1	1	12	12
112.2349	2.8023	1	1	1	2	12	1	1	1	13	13
114.8599	2.8023	1	1	1	2	12	1	1	1	14	14
117.4854	2.8023	1	1	2	1	8	1	1	1	15	15
120.1108	2.8023	1	1	1	2	24	2	1	1	16	16
122.7363	2.8023	1	1	2	1	9	1	1	1	17	17
125.3613	2.8023	1	1	1	2	11	1	1	1	18	18
127.9868	2.8023	1	1	1	2	10	1	1	1	19	19
130.6118	2.8023	1	1	2	1	20	2	1	1	20	20
133.2373	2.8023	1	1	2	1	8	1	1	1	21	21
135.0713	2.8023	2	1	1	2	0	1	1	1	22	22
137.6963	2.8023	2	1	2	1	0	1	1	1	23	23
140.3213	2.8023	2	1	1	2	0	2	1	1	24	24
142.9468	2.8023	2	1	2	1	0	1	1	1	25	25
145.5723	2.8023	2	1	1	2	0	1	1	1	26	26
148.1973	2.8023	2	1	1	2	0	1	1	1	27	27
150.8228	2.8023	2	1	2	1	0	2	1	1	28	28
153.4482	2.8023	2	1	2	1	0	1	1	1	29	29
156.0898	2.8023	2	1	2	1	0	1	1	1	30	30
158.7153	2.8023	2	1	2	1	0	1	1	1	31	31
161.3408	2.8023	2	1	2	1	0	2	1	1	32	32
163.9658	2.8023	2	1	1	2	0	1	1	1	33	33
167.3833	2.8023	1	1	1	2	11	1	1	1	34	34
170.0083	2.8023	1	1	2	1	8	1	1	1	35	35
172.6338	2.8023	1	1	1	2	23	2	1	1	36	36
175.2593	2.8023	1	1	2	1	9	1	1	1	37	37
177.8843	2.8023	1	1	2	1	7	1	1	1	38	38
180.5098	2.8023	1	1	1	2	12	1	1	1	39	39
183.1353	2.8023	1	1	2	1	8	1	1	1	40	40
185.7603	2.8023	1	1	2	1	7	1	1	1	41	41
188.3857	2.8023	1	1	2	1	19	2	1	1	42	42
191.1191	2.8023	1	1	1	2	11	1	1	1	43	43
193.7446	2.8023	1	1	1	2	12	1	1	1	44	44
218.5811	2.8023	2	2	1	1	0	1	1	2	45	1
220.4312	2.8023	2	2	1	1	0	1	1	2	46	2
223.0566	2.8023	2	2	2	2	0	1	1	2	47	3
225.6816	2.8023	2	2	2	2	0	1	1	2	48	4
228.3071	2.8023	2	2	1	1	0	1	1	2	49	5
230.9326	2.8023	2	2	1	1	0	1	1	2	50	6
233.5576	2.8023	2	2	1	1	0	1	1	2	51	7
236.1831	2.8023	2	2	2	2	0	1	1	2	52	8
238.8086	2.8023	2	2	1	1	0	2	1	2	53	9
241.4336	2.8023	2	2	1	1	0	1	1	2	54	10
244.8511	2.8023	1	2	1	1	4	1	1	2	55	11
247.4761	2.8023	1	2	2	2	3	1	1	2	56	12
250.1016	2.8023	1	2	2	2	2	1	1	2	57	13
252.7271	2.8023	1	2	1	1	5	1	1	2	58	14
255.3521	2.8023	1	2	2	2	3	1	1	2	59	15
257.9775	2.8023	1	2	1	1	6	1	1	2	60	16
260.6025	2.8023	1	2	1	1	16	2	1	2	61	17
263.228	2.8023	1	2	1	1	6	1	1	2	62	18
265.8535	2.8023	1	2	1	1	6	1	1	2	63	19
268.4785	2.8023	1	2	2	2	2	1	1	2	64	20
270.312	2.8023	2	2	2	2	0	1	1	2	65	21
272.9375	2.8023	2	2	1	1	0	1	1	2	66	22
275.563	2.8023	2	2	2	2	0	1	1	2	67	23
278.188	2.8023	2	2	2	2	0	1	1	2	68	24
280.8135	2.8023	2	2	1	1	0	1	1	2	69	25
283.439	2.8023	2	2	2	2	0	1	1	2	70	26
286.064	2.8023	2	2	2	2	0	1	1	2	71	27
288.6895	2.8023	2	2	1	1	0	1	1	2	72	28
291.3149	2.8023	2	2	1	1	0	1	1	2	73	29
293.9399	2.8023	2	2	2	2	0	2	1	2	74	30
297.3569	2.8023	1	2	2	2	1	1	1	2	75	31
299.9824	2.8023	1	2	2	2	3	1	1	2	76	32
302.6079	2.8023	1	2	2	2	3	1	1	2	77	33
305.2329	2.8023	1	2	1	1	4	1	1	2	78	34
307.8584	2.8023	1	2	2	2	2	1	1	2	79	35
310.4839	2.8023	1	2	2	2	1	1	1	2	80	36
313.1089	2.8023	1	2	1	1	5	1	1	2	81	37
315.7344	2.8023	1	2	1	1	17	2	1	2	82	38
318.3599	2.8023	1	2	1	1	6	1	1	2	83	39
320.9849	2.8023	1	2	1	1	4	1	1	2	84	40
338.1455	2.8023	2	1	2	1	0	1	1	3	85	1
339.9956	2.8023	2	1	2	1	0	1	1	3	86	2
342.6211	2.8023	2	1	1	2	0	1	1	3	87	3
