onset	duration	modality	hand_ori	finger	touch_side	mov_num	target	run_num	block_num	trial_num_per_run	trial_num_per_block
42.6689	2.8023	1	2	2	2	2	1	1	1	1	1
45.2944	2.8023	1	2	2	2	1	1	1	1	2	2
47.9189	2.8023	1	2	1	1	5	1	1	1	3	3
50.5439	2.8023	1	2	2	2	2	1	1	1	4	4
53.1694	2.8023	1	2	1	1	4	1	1	1	5	5
55.7949	2.8023	1	2	2	2	1	1	1	1	6	6
58.4199	2.8023	1	2	1	1	6	1	1	1	7	7
61.0454	2.8023	1	2	1	1	4	1	1	1	8	8
63.6704	2.8023	1	2	1	1	18	2	1	1	9	9
66.2959	2.8023	1	2	2	2	3	1	1	1	10	10
68.1299	2.8023	2	2	1	1	0	1	1	1	11	11
70.7549	2.8023	2	2	1	1	0	1	1	1	12	12
73.3804	2.8023	2	2	2	2	0	1	1	1	13	13
76.0054	2.8023	2	2	2	2	0	1	1	1	14	14
78.6309	2.8023	2	2	1	1	0	1	1	1	15	15
81.2559	2.8023	2	2	1	1	0	1	1	1	16	16
83.8813	2.8023	2	2	1	1	0	1	1	1	17	17
86.5068	2.8023	2	2	1	1	0	2	1	1	18	18
89.1318	2.8023	2	2	2	2	0	1	1	1	19	19
91.7573	2.8023	2	2	2	2	0	1	1	1	20	20
95.1743	2.8023	1	2	2	2	2	1	1	1	21	21
97.7998	2.8023	1	2	1	1	4	1	1	1	22	22
100.4253	2.8023	1	2	1	1	5	1	1	1	23	23
103.0503	2.8023	1	2	2	2	3	1	1	1	24	24
105.6758	2.8023	1	2	2	2	3	1	1	1	25	25
108.3013	2.8023	1	2	2	2	1	1	1	1	26	26
110.9263	2.8023	1	2	1	1	5	1	1	1	27	27
113.5518	2.8023	1	2	1	1	4	1	1	1	28	28
116.1772	2.8023	1	2	1	1	5	1	1	1	29	29
118.8022	2.8023	1	2	2	2	15	2	1	1	30	30
120.6357	2.8023	2	2	2	2	0	1	1	1	31	31
123.2612	2.8023	2	2	1	1	0	1	1	1	32	32
125.8867	2.8023	2	2	1	1	0	1	1	1	33	33
128.5117	2.8023	2	2	1	1	0	1	1	1	34	34
131.1372	2.8023	2	2	2	2	0	1	1	1	35	35
133.7627	2.8023	2	2	2	2	0	1	1	1	36	36
136.3877	2.8023	2	2	1	1	0	1	1	1	37	37
139.0132	2.8023	2	2	1	1	0	1	1	1	38	38
141.6382	2.8023	2	2	2	2	0	1	1	1	39	39
151.1914	2.8023	1	1	2	1	9	1	1	2	40	1
153.8149	2.8023	1	1	2	1	7	1	1	2	41	2
156.4404	2.8023	1	1	1	2	11	1	1	2	42	3
159.0654	2.8023	1	1	2	1	20	2	1	2	43	4
