onset	duration	modality	hand_ori	finger	touch_side	mov_num	target	run_num	block_num	trial_num_per_run	trial_num_per_block
105.7368	2.8023	1	1	2	1	9	1	1	1	1	1
108.3623	2.8023	1	1	2	1	9	1	1	1	2	2
110.9873	2.8023	1	1	1	2	10	1	1	1	3	3
113.6128	2.8023	1	1	1	2	23	2	1	1	4	4
116.2383	2.8023	1	1	1	2	10	1	1	1	5	5
118.8633	2.8023	1	1	2	1	9	1	1	1	6	6
121.4888	2.8023	1	1	2	1	8	1	1	1	7	7
124.1138	2.8023	1	1	1	2	11	1	1	1	8	8
126.7393	2.8023	1	1	1	2	10	1	1	1	9	9
129.3647	2.8023	1	1	1	2	24	2	1	1	10	10
131.9897	2.8023	1	1	1	2	11	1	1	1	11	11
133.8232	2.8023	2	1	2	1	0	1	1	1	12	12
136.4487	2.8023	2	1	1	2	0	1	1	1	13	13
139.0742	2.8023	2	1	2	1	0	2	1	1	14	14
141.6992	2.8023	2	1	2	1	0	1	1	1	15	15
144.3252	2.8023	2	1	2	1	0	1	1	1	16	16
146.9502	2.8023	2	1	1	2	0	1	1	1	17	17
149.5752	2.8023	2	1	1	2	0	1	1	1	18	18
152.2007	2.8023	2	1	2	1	0	1	1	1	19	19
154.8257	2.8023	2	1	1	2	0	1	1	1	20	20
157.4512	2.8023	2	1	1	2	0	1	1	1	21	21
160.0767	2.8023	2	1	2	1	0	2	1	1	22	22
163.4937	2.8023	1	1	2	1	8	1	1	1	23	23
166.1523	2.8023	1	1	2	1	7	1	1	1	24	24
169.2944	2.8023	1	1	2	1	7	1	1	1	25	25
171.9194	2.8023	1	1	1	2	11	1	1	1	26	26
174.5449	2.8023	1	1	1	2	10	1	1	1	27	27
177.1704	2.8023	1	1	2	1	8	1	1	1	28	28
179.7954	2.8023	1	1	1	2	10	1	1	1	29	29
182.4209	2.8023	1	1	2	1	7	1	1	1	30	30
185.0464	2.8023	1	1	2	1	21	2	1	1	31	31
187.6714	2.8023	1	1	2	1	7	1	1	1	32	32
189.5049	2.8023	2	1	1	2	0	1	1	1	33	33
192.1304	2.8023	2	1	1	2	0	1	1	1	34	34
194.7559	2.8023	2	1	2	1	0	1	1	1	35	35
197.3809	2.8023	2	1	2	1	0	2	1	1	36	36
200.0063	2.8023	2	1	1	2	0	1	1	1	37	37
202.6318	2.8023	2	1	1	2	0	1	1	1	38	38
205.2568	2.8023	2	1	2	1	0	1	1	1	39	39
207.8823	2.8023	2	1	2	1	0	1	1	1	40	40
210.5078	2.8023	2	1	1	2	0	1	1	1	41	41
213.1328	2.8023	2	1	2	1	0	1	1	1	42	42
231.085	2.8023	1	2	1	1	6	1	1	2	43	1
233.7104	2.8023	1	2	2	2	2	1	1	2	44	2
236.3359	2.8023	1	2	2	2	1	1	1	2	45	3
238.9609	2.8023	1	2	1	1	5	1	1	2	46	4
241.5864	2.8023	1	2	1	1	4	1	1	2	47	5
244.2119	2.8023	1	2	2	2	15	2	1	2	48	6
246.8369	2.8023	1	2	1	1	5	1	1	2	49	7
249.4624	2.8023	1	2	2	2	3	1	1	2	50	8
252.0874	2.8023	1	2	2	2	1	1	1	2	51	9
254.7129	2.8023	1	2	1	1	16	2	1	2	52	10
257.3384	2.8023	1	2	1	1	6	1	1	2	53	11
259.1719	2.8023	2	2	2	2	0	1	1	2	54	12
261.7969	2.8023	2	2	2	2	0	1	1	2	55	13
264.4224	2.8023	2	2	1	1	0	1	1	2	56	14
267.0479	2.8023	2	2	1	1	0	1	1	2	57	15
269.6729	2.8023	2	2	1	1	0	1	1	2	58	16
272.2983	2.8023	2	2	2	2	0	1	1	2	59	17
274.9238	2.8023	2	2	2	2	0	1	1	2	60	18
277.5493	2.8023	2	2	2	2	0	1	1	2	61	19
280.1743	2.8023	2	2	1	1	0	1	1	2	62	20
283.5913	2.8023	1	2	2	2	3	1	1	2	63	21
286.2168	2.8023	1	2	1	1	4	1	1	2	64	22
288.8423	2.8023	1	2	2	2	15	2	1	2	65	23
291.4673	2.8023	1	2	1	1	6	1	1	2	66	24
294.0928	2.8023	1	2	1	1	4	1	1	2	67	25
296.7183	2.8023	1	2	2	2	2	1	1	2	68	26
299.3438	2.8023	1	2	1	1	5	1	1	2	69	27
301.9688	2.8023	1	2	2	2	2	1	1	2	70	28
304.5938	2.8023	1	2	1	1	6	1	1	2	71	29
307.2192	2.8023	1	2	1	1	5	1	1	2	72	30
309.0527	2.8023	2	2	1	1	0	1	1	2	73	31
311.6782	2.8023	2	2	1	1	0	1	1	2	74	32
314.3032	2.8023	2	2	1	1	0	1	1	2	75	33
316.9287	2.8023	2	2	2	2	0	1	1	2	76	34
319.5542	2.8023	2	2	2	2	0	1	1	2	77	35
322.1792	2.8023	2	2	1	1	0	1	1	2	78	36
324.8047	2.8023	2	2	2	2	0	1	1	2	79	37
327.4302	2.8023	2	2	2	2	0	2	1	2	80	38
330.0552	2.8023	2	2	2	2	0	1	1	2	81	39
332.6807	2.8023	2	2	1	1	0	1	1	2	82	40
356.0166	2.8023	1	1	1	2	12	1	1	3	83	1
358.6421	2.8023	1	1	1	2	12	1	1	3	84	2
361.2676	2.8023	1	1	2	1	9	1	1	3	85	3
363.8926	2.8023	1	1	1	2	23	2	1	3	86	4
366.5181	2.8023	1	1	2	1	7	1	1	3	87	5
369.1436	2.8023	1	1	1	2	12	1	1	3	88	6
371.7686	2.8023	1	1	2	1	9	1	1	3	89	7
374.394	2.8023	1	1	1	2	22	2	1	3	90	8
377.0195	2.8023	1	1	1	2	12	1	1	3	91	9
379.6445	2.8023	1	1	1	2	11	1	1	3	92	10
382.27	2.8023	1	1	1	2	11	1	1	3	93	11
384.1035	2.8023	2	1	1	2	0	1	1	3	94	12
386.729	2.8023	2	1	1	2	0	1	1	3	95	13
389.354	2.8023	2	1	2	1	0	1	1	3	96	14
391.9795	2.8023	2	1	2	1	0	2	1	3	97	15
394.605	2.8023	2	1	2	1	0	1	1	3	98	16
397.23	2.8023	2	1	2	1	0	1	1	3	99	17
399.8555	2.8023	2	1	1	2	0	1	1	3	100	18
402.4805	2.8023	2	1	1	2	0	1	1	3	101	19
405.106	2.8023	2	1	2	1	0	1	1	3	102	20
407.7314	2.8023	2	1	2	1	0	1	1	3	103	21
411.1484	2.8023	1	1	1	2	12	1	1	3	104	22
413.7739	2.8023	1	1	2	1	8	1	1	3	105	23
416.3989	2.8023	1	1	1	2	12	1	1	3	106	24
419.0249	2.8023	1	1	2	1	20	2	1	3	107	25
421.6499	2.8023	1	1	2	1	8	1	1	3	108	26
424.2749	2.8023	1	1	2	1	9	1	1	3	109	27
426.9004	2.8023	1	1	1	2	11	1	1	3	110	28
429.5259	2.8023	1	1	1	2	10	1	1	3	111	29
432.1514	2.8023	1	1	2	1	7	1	1	3	112	30
434.7764	2.8023	1	1	2	1	8	1	1	3	113	31
436.6099	2.8023	2	1	2	1	0	1	1	3	114	32
439.2354	2.8023	2	1	1	2	0	2	1	3	115	33
441.8604	2.8023	2	1	2	1	0	1	1	3	116	34
444.4858	2.8023	2	1	1	2	0	1	1	3	117	35
447.1108	2.8023	2	1	2	1	0	1	1	3	118	36
449.7363	2.8023	2	1	2	1	0	1	1	3	119	37
452.3618	2.8023	2	1	2	1	0	1	1	3	120	38
454.9868	2.8023	2	1	1	2	0	1	1	3	121	39
