onset	duration	modality	hand_ori	finger	touch_side	mov_num	target	run_num	block_num	trial_num_per_run	trial_num_per_block
44.9731	2.8023	2	2	1	1	0	1	1	1	1	1
46.8232	2.8023	2	2	1	1	0	1	1	1	2	2
49.4487	2.8023	2	2	1	1	0	1	1	1	3	3
52.0732	2.8023	2	2	2	2	0	1	1	1	4	4
54.6987	2.8023	2	2	2	2	0	1	1	1	5	5
57.3242	2.8023	2	2	1	1	0	1	1	1	6	6
59.9492	2.8023	2	2	1	1	0	1	1	1	7	7
62.5747	2.8023	2	2	2	2	0	1	1	1	8	8
65.1997	2.8023	2	2	1	1	0	2	1	1	9	9
67.8252	2.8023	2	2	1	1	0	1	1	1	10	10
71.2432	2.8023	1	2	1	1	5	1	1	1	11	11
73.8677	2.8023	1	2	1	1	5	1	1	1	12	12
76.4932	2.8023	1	2	1	1	4	1	1	1	13	13
79.1182	2.8023	1	2	1	1	18	2	1	1	14	14
81.7437	2.8023	1	2	2	2	3	1	1	1	15	15
84.3691	2.8023	1	2	1	1	4	1	1	1	16	16
86.9941	2.8023	1	2	2	2	3	1	1	1	17	17
89.6196	2.8023	1	2	2	2	3	1	1	1	18	18
92.2451	2.8023	1	2	2	2	1	1	1	1	19	19
94.8701	2.8023	1	2	1	1	4	1	1	1	20	20
96.7036	2.8023	2	2	2	2	0	1	1	1	21	21
99.3291	2.8023	2	2	1	1	0	2	1	1	22	22
101.9546	2.8023	2	2	2	2	0	1	1	1	23	23
104.5796	2.8023	2	2	2	2	0	1	1	1	24	24
107.2051	2.8023	2	2	1	1	0	1	1	1	25	25
109.8306	2.8023	2	2	1	1	0	1	1	1	26	26
112.4556	2.8023	2	2	1	1	0	1	1	1	27	27
115.0811	2.8023	2	2	2	2	0	2	1	1	28	28
117.7065	2.8023	2	2	2	2	0	1	1	1	29	29
120.3315	2.8023	2	2	2	2	0	1	1	1	30	30
122.957	2.8023	2	2	1	1	0	1	1	1	31	31
126.374	2.8023	1	2	2	2	1	1	1	1	32	32
128.9995	2.8023	1	2	2	2	2	1	1	1	33	33
131.6245	2.8023	1	2	1	1	17	2	1	1	34	34
134.25	2.8023	1	2	2	2	1	1	1	1	35	35
136.8755	2.8023	1	2	1	1	5	1	1	1	36	36
139.501	2.8023	1	2	1	1	5	1	1	1	37	37
142.126	2.8023	1	2	2	2	2	1	1	1	38	38
144.7515	2.8023	1	2	1	1	5	1	1	1	39	39
147.3765	2.8023	1	2	1	1	6	1	1	1	40	40
150.002	2.8023	1	2	1	1	6	1	1	1	41	41
158.6948	2.8023	2	1	2	1	0	1	1	2	42	1
160.5449	2.8023	2	1	2	1	0	1	1	2	43	2
163.1704	2.8023	2	1	1	2	0	1	1	2	44	3
165.7954	2.8023	2	1	1	2	0	2	1	2	45	4
168.4209	2.8023	2	1	1	2	0	1	1	2	46	5
171.0459	2.8023	2	1	1	2	0	1	1	2	47	6
173.6714	2.8023	2	1	2	1	0	1	1	2	48	7
176.2969	2.8023	2	1	1	2	0	1	1	2	49	8
178.9219	2.8023	2	1	1	2	0	1	1	2	50	9
181.5474	2.8023	2	1	1	2	0	1	1	2	51	10
184.9644	2.8023	1	1	2	1	7	1	1	2	52	11
187.5898	2.8023	1	1	1	2	22	2	1	2	53	12
190.2153	2.8023	1	1	1	2	10	1	1	2	54	13
192.8403	2.8023	1	1	2	1	9	1	1	2	55	14
195.4658	2.8023	1	1	1	2	11	1	1	2	56	15
198.0913	2.8023	1	1	2	1	9	1	1	2	57	16
200.7163	2.8023	1	1	2	1	9	1	1	2	58	17
203.3418	2.8023	1	1	1	2	23	2	1	2	59	18
205.9668	2.8023	1	1	1	2	11	1	1	2	60	19
208.5923	2.8023	1	1	1	2	10	1	1	2	61	20
211.2178	2.8023	1	1	2	1	9	1	1	2	62	21
213.8433	2.8023	1	1	2	1	19	2	1	2	63	22
215.6768	2.8023	2	1	2	1	0	1	1	2	64	23
218.3018	2.8023	2	1	2	1	0	1	1	2	65	24
220.9272	2.8023	2	1	2	1	0	1	1	2	66	25
