onset	duration	modality	hand_ori	finger	touch_side	mov_num	target	run_num	block_num	trial_num_per_run	trial_num_per_block
46.7412	2.8023	1	2	2	2	2	1	1	1	1	1
49.3657	2.8023	1	2	1	1	5	1	1	1	2	2
51.9907	2.8023	1	2	1	1	6	1	1	1	3	3
54.6162	2.8023	1	2	1	1	4	1	1	1	4	4
57.2417	2.8023	1	2	2	2	3	1	1	1	5	5
59.8667	2.8023	1	2	1	1	5	1	1	1	6	6
62.4922	2.8023	1	2	2	2	2	1	1	1	7	7
65.1177	2.8023	1	2	2	2	14	2	1	1	8	8
67.7427	2.8023	1	2	2	2	1	1	1	1	9	9
70.3682	2.8023	1	2	1	1	4	1	1	1	10	10
72.2017	2.8023	2	2	2	2	0	1	1	1	11	11
74.8267	2.8023	2	2	1	1	0	2	1	1	12	12
77.4521	2.8023	2	2	1	1	0	1	1	1	13	13
80.0776	2.8023	2	2	1	1	0	1	1	1	14	14
82.7026	2.8023	2	2	2	2	0	1	1	1	15	15
85.3281	2.8023	2	2	2	2	0	1	1	1	16	16
87.9536	2.8023	2	2	1	1	0	1	1	1	17	17
90.5786	2.8023	2	2	1	1	0	1	1	1	18	18
93.2041	2.8023	2	2	2	2	0	1	1	1	19	19
95.8296	2.8023	2	2	2	2	0	1	1	1	20	20
99.2466	2.8023	1	2	1	1	4	1	1	1	21	21
101.8721	2.8023	1	2	1	1	4	1	1	1	22	22
104.4976	2.8023	1	2	1	1	5	1	1	1	23	23
107.1226	2.8023	1	2	1	1	17	2	1	1	24	24
110.4561	2.8023	1	2	2	2	3	1	1	1	25	25
113.0815	2.8023	1	2	2	2	2	1	1	1	26	26
115.707	2.8023	1	2	2	2	3	1	1	1	27	27
118.332	2.8023	1	2	1	1	6	1	1	1	28	28
120.9575	2.8023	1	2	1	1	5	1	1	1	29	29
123.583	2.8023	1	2	2	2	1	1	1	1	30	30
125.4165	2.8023	2	2	2	2	0	1	1	1	31	31
128.0415	2.8023	2	2	1	1	0	1	1	1	32	32
130.667	2.8023	2	2	2	2	0	1	1	1	33	33
133.2925	2.8023	2	2	2	2	0	1	1	1	34	34
135.9175	2.8023	2	2	2	2	0	1	1	1	35	35
138.543	2.8023	2	2	1	1	0	1	1	1	36	36
141.1685	2.8023	2	2	2	2	0	1	1	1	37	37
143.7935	2.8023	2	2	1	1	0	1	1	1	38	38
146.4189	2.8023	2	2	1	1	0	1	1	1	39	39
161.8789	2.8023	1	1	2	1	9	1	1	2	40	1
164.5044	2.8023	1	1	1	2	10	1	1	2	41	2
167.1304	2.8023	1	1	1	2	10	1	1	2	42	3
169.7554	2.8023	1	1	2	1	8	1	1	2	43	4
172.3804	2.8023	1	1	2	1	21	2	1	2	44	5
175.0059	2.8023	1	1	2	1	8	1	1	2	45	6
177.6309	2.8023	1	1	2	1	9	1	1	2	46	7
180.2563	2.8023	1	1	1	2	10	1	1	2	47	8
182.8818	2.8023	1	1	1	2	12	1	1	2	48	9
185.5073	2.8023	1	1	2	1	8	1	1	2	49	10
187.3403	2.8023	2	1	1	2	0	1	1	2	50	11
189.9658	2.8023	2	1	1	2	0	2	1	2	51	12
192.5913	2.8023	2	1	1	2	0	1	1	2	52	13
195.2163	2.8023	2	1	2	1	0	1	1	2	53	14
197.8418	2.8023	2	1	1	2	0	1	1	2	54	15
200.4673	2.8023	2	1	1	2	0	1	1	2	55	16
203.0923	2.8023	2	1	2	1	0	1	1	2	56	17
205.7178	2.8023	2	1	1	2	0	1	1	2	57	18
208.3433	2.8023	2	1	1	2	0	1	1	2	58	19
210.9683	2.8023	2	1	1	2	0	2	1	2	59	20
213.5938	2.8023	2	1	2	1	0	1	1	2	60	21
217.0107	2.8023	1	1	1	2	11	1	1	2	61	22
219.6362	2.8023	1	1	2	1	9	1	1	2	62	23
222.2617	2.8023	1	1	1	2	12	1	1	2	63	24
224.8867	2.8023	1	1	2	1	21	2	1	2	64	25
227.5122	2.8023	1	1	2	1	8	1	1	2	65	26
230.1377	2.8023	1	1	2	1	7	1	1	2	66	27
232.7627	2.8023	1	1	1	2	11	1	1	2	67	28
235.3882	2.8023	1	1	1	2	23	2	1	2	68	29
238.0132	2.8023	1	1	2	1	7	1	1	2	69	30
240.6387	2.8023	1	1	2	1	7	1	1	2	70	31
243.2642	2.8023	1	1	1	2	11	1	1	2	71	32
245.0977	2.8023	2	1	2	1	0	1	1	2	72	33
247.7227	2.8023	2	1	2	1	0	1	1	2	73	34
250.3481	2.8023	2	1	1	2	0	1	1	2	74	35
252.9736	2.8023	2	1	2	1	0	1	1	2	75	36
255.5986	2.8023	2	1	2	1	0	1	1	2	76	37
258.2241	2.8023	2	1	2	1	0	2	1	2	77	38
260.8496	2.8023	2	1	1	2	0	1	1	2	78	39
263.4746	2.8023	2	1	1	2	0	1	1	2	79	40
266.1001	2.8023	2	1	1	2	0	1	1	2	80	41
268.7256	2.8023	2	1	2	1	0	1	1	2	81	42
281.2935	2.8023	1	2	2	2	1	1	1	3	82	1
